"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"823,900","822,800","828,200","825,700",2350,0.29%,2025/01/21,1403/11/02
"808,800","808,800","823,700","823,350",13150,1.62%,2025/01/20,1403/11/01
"806,400","806,300","812,200","810,200",3500,0.43%,2025/01/19,1403/10/30
"806,350","806,300","809,200","806,700",1400,0.17%,2025/01/18,1403/10/29
"796,100","795,800","805,700","805,300",4600,0.57%,2025/01/17,1403/10/28
"803,350","799,300","803,700","800,700",4150,0.52%,2025/01/15,1403/10/26
"813,650","804,800","813,700","804,850",9750,1.21%,2025/01/14,1403/10/25
"806,400","806,300","816,200","814,600",7950,0.99%,2025/01/12,1403/10/23
"817,650","805,800","817,700","806,650",12850,1.59%,2025/01/11,1403/10/22
"818,300","818,300","821,200","819,500",5600,0.69%,2025/01/10,1403/10/21
"803,300","803,300","815,200","813,900",9800,1.22%,2025/01/08,1403/10/19
"799,000","797,800","806,200","804,100",3300,0.41%,2025/01/07,1403/10/18
"798,100","795,300","803,700","800,800",7350,0.93%,2025/01/06,1403/10/17
"794,200","789,800","794,200","793,450",2000,0.25%,2025/01/05,1403/10/16
"799,600","794,700","801,200","795,450",2900,0.36%,2025/01/04,1403/10/15
"799,600","792,300","799,700","798,350",8000,1%,2025/01/03,1403/10/14
"812,950","805,100","813,200","806,350",5950,0.74%,2025/01/01,1403/10/12
"813,200","810,100","814,700","812,300",750,0.09%,2024/12/31,1403/10/11
"816,300","807,300","816,700","813,050",150,0.02%,2024/12/30,1403/10/10
"796,350","794,850","813,200","813,200",16050,2.01%,2024/12/29,1403/10/09
"811,550","793,300","814,700","797,150",13450,1.69%,2024/12/28,1403/10/08
"799,350","799,350","811,200","810,600",16750,2.11%,2024/12/27,1403/10/07
"784,850","776,800","794,700","793,850",7900,1.01%,2024/12/25,1403/10/05
"785,200","777,800","787,700","785,950",650,0.08%,2024/12/24,1403/10/04
"779,700","779,300","787,700","786,600",7800,1%,2024/12/23,1403/10/03
"762,200","760,900","781,700","778,800",16000,2.1%,2024/12/22,1403/10/02
"761,600","753,300","763,100","762,800",400,0.05%,2024/12/21,1403/10/01
"766,900","761,800","768,700","762,400",5150,0.68%,2024/12/20,1403/09/30
"771,600","766,800","772,700","767,550",6100,0.79%,2024/12/18,1403/09/28
"767,200","766,800","775,700","773,650",7350,0.96%,2024/12/17,1403/09/27
"765,550","763,300","768,700","766,300",6800,0.9%,2024/12/16,1403/09/26
"745,950","745,800","759,700","759,500",12400,1.66%,2024/12/15,1403/09/25
"748,550","745,800","756,600","747,100",50,0.01%,2024/12/14,1403/09/24
"736,600","727,572","748,200","747,150",17550,2.41%,2024/12/13,1403/09/23
"732,450","727,800","734,700","729,600",2350,0.32%,2024/12/11,1403/09/21
"723,650","723,300","732,700","731,950",8750,1.21%,2024/12/10,1403/09/20
"718,800","718,800","724,200","723,200",4350,0.61%,2024/12/09,1403/09/19
"718,400","717,800","722,700","718,850",350,0.05%,2024/12/08,1403/09/18
"715,350","714,600","721,700","719,200",3600,0.5%,2024/12/07,1403/09/17
"712,650","711,500","716,200","715,600",800,0.11%,2024/12/06,1403/09/16
"712,200","710,800","715,200","714,800",3850,0.54%,2024/12/03,1403/09/13
"704,800","704,500","711,200","710,950",6800,0.97%,2024/12/02,1403/09/12
"699,550","699,400","707,200","704,150",5150,0.74%,2024/12/01,1403/09/11
"702,950","697,900","705,400","699,000",5000,0.72%,2024/11/30,1403/09/10
