"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"64,492,000","63,908,000","65,284,000","64,358,000",1942000,3.02%,2025/02/28,1403/12/10
"67,187,000","66,178,000","67,187,000","66,300,000",884000,1.33%,2025/02/26,1403/12/08
"67,334,000","66,785,000","67,655,000","67,184,000",1378000,2.09%,2025/02/25,1403/12/07
"66,556,000","65,531,000","66,591,000","65,806,000",762000,1.16%,2025/02/24,1403/12/06
"67,420,000","66,547,000","67,925,000","66,568,000",847000,1.27%,2025/02/23,1403/12/05
"67,925,000","66,065,000","68,002,000","67,415,000",508000,0.75%,2025/02/22,1403/12/04
"68,509,000","67,471,000","70,093,000","67,923,000",1111000,1.64%,2025/02/21,1403/12/03
"67,581,000","67,563,000","69,735,000","69,034,000",1469000,2.17%,2025/02/19,1403/12/01
"65,815,000","65,808,000","68,112,000","67,565,000",1743000,2.65%,2025/02/18,1403/11/30
"64,769,000","64,735,000","66,145,000","65,822,000",1087000,1.68%,2025/02/17,1403/11/29
"65,111,000","64,735,000","65,116,000","64,735,000",355000,0.55%,2025/02/16,1403/11/28
"65,079,000","65,053,000","65,462,000","65,090,000",340000,0.52%,2025/02/15,1403/11/27
"65,506,000","64,472,000","66,436,000","65,430,000",74000,0.11%,2025/02/14,1403/11/26
"63,851,000","63,710,000","65,633,000","65,504,000",1677000,2.63%,2025/02/12,1403/11/24
"63,957,000","62,609,000","64,146,000","63,827,000",121000,0.19%,2025/02/11,1403/11/23
"66,185,000","62,717,000","66,277,000","63,948,000",2253000,3.52%,2025/02/10,1403/11/22
"63,285,000","63,285,000","66,201,000","66,201,000",2928000,4.63%,2025/02/08,1403/11/20
"59,651,000","59,651,000","64,615,000","63,273,000",3631000,6.09%,2025/02/07,1403/11/19
"59,025,000","58,989,000","59,697,000","59,642,000",619000,1.05%,2025/02/05,1403/11/17
"57,730,000","57,730,000","59,305,000","59,023,000",1311000,2.27%,2025/02/04,1403/11/16
"57,042,000","56,945,000","57,751,000","57,712,000",667000,1.17%,2025/02/03,1403/11/15
"56,634,000","56,532,000","57,098,000","57,045,000",400000,0.71%,2025/02/02,1403/11/14
"56,474,000","56,324,000","56,892,000","56,645,000",118000,0.21%,2025/02/01,1403/11/13
"55,833,000","55,833,000","56,927,000","56,763,000",935000,1.67%,2025/01/31,1403/11/12
"55,357,000","55,214,000","55,980,000","55,828,000",483000,0.87%,2025/01/29,1403/11/10
"55,987,000","55,135,000","56,130,000","55,345,000",645000,1.17%,2025/01/28,1403/11/09
"56,084,000","55,493,000","56,391,000","55,990,000",113000,0.2%,2025/01/26,1403/11/07
"55,579,000","55,579,000","56,165,000","56,103,000",517000,0.93%,2025/01/25,1403/11/06
"55,182,000","55,182,000","55,819,000","55,586,000",423000,0.77%,2025/01/24,1403/11/05
"54,828,000","54,828,000","55,399,000","55,163,000",339000,0.62%,2025/01/22,1403/11/03
"54,466,000","54,445,000","54,907,000","54,824,000",707000,1.31%,2025/01/21,1403/11/02
"52,801,000","52,663,000","54,210,000","54,117,000",1320000,2.5%,2025/01/20,1403/11/01
"52,492,000","52,356,000","53,141,000","52,797,000",319000,0.61%,2025/01/19,1403/10/30
